vendor,nomor_kontainer,size,tanggal_awal,tanggal_akhir,tarif,group,status
ZONA,BMOU2495277,20,2023-06-07,2023-07-06,675676,Z010,ongoing
ZONA,GESU2832175,20,2023-06-07,2023-07-06,675676,Z010,ongoing
ZONA,IRNU3633428,20,2023-06-07,2023-06-16,675676,Z010,ongoing
ZONA,MAEU6958040,20,2023-06-07,2023-06-16,675676,Z010,ongoing
ZONA,MSKU2158238,20,2023-06-07,2023-07-06,675676,Z010,ongoing
ZONA,MSKU3041950,20,2023-06-07,2023-06-17,675676,Z010,ongoing
ZONA,ZONA9900023,20,2023-06-07,2023-07-06,675676,Z010,ongoing
ZONA,CCLU2644067,20,2023-06-08,2023-07-07,675676,Z010,ongoing
ZONA,FCIU2922510,20,2023-06-08,2023-06-17,675676,Z010,ongoing
ZONA,BMOU2495277,20,2023-07-07,2023-08-06,675676,Z010,ongoing
ZONA,GESU2832175,20,2023-07-07,2023-08-06,675676,Z010,ongoing
ZONA,MSKU2158238,20,2023-07-07,2023-08-06,675676,Z010,ongoing
ZONA,ZONA9900023,20,2023-07-07,2023-07-11,675676,Z010,ongoing
ZONA,CCLU2644067,20,2023-07-08,2023-08-06,675676,Z010,ongoing
ZONA,GESU4838932,40,2023-11-22,2023-12-15,1261261,Z12,ongoing
ZONA,INKU2537304,40,2023-11-22,2023-12-01,1261261,Z12,ongoing
ZONA,NYKU5620235,40,2023-11-22,2023-12-16,1261261,Z12,ongoing
ZONA,TDRU5419898,40,2023-11-22,2023-12-13,1261261,Z12,ongoing
ZONA,TEMU6334206,40,2023-11-22,2023-12-13,1261261,Z12,ongoing
