vendor;nomor_kontainer;size;group;tanggal_awal;tanggal_akhir;periode;masa;tarif;dpp;dpp_nilai_lain;ppn;pph;grand_total;status;computed_periode
ZONA;GESU5114504;40;Z001;2024-03-08;;1;"8 maret 2024 - 7 april 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;2;"8 april 2024 - 7 mei 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;3;"8 mei 2024 - 7 juni 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;4;"8 juni 2024 - 7 juli 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;5;"8 juli 2024 - 7 agustus 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;6;"8 agustus 2024 - 7 september 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;7;"8 september 2024 - 7 oktober 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;8;"8 oktober 2024 - 7 november 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;9;"8 november 2024 - 7 desember 2024";Bulanan;;;;;;;18
ZONA;GESU5114504;40;Z001;2024-03-08;;10;"8 desember 2024 - 7 januari 2025";Bulanan;;;;;;;18
ZONA;BMOU4192536;40;Z002;2024-06-10;;1;"10 juni 2024 - 9 juli 2024";Bulanan;;;;;;;15
ZONA;BMOU4192536;40;Z002;2024-06-10;;2;"10 juli 2024 - 9 agustus 2024";Bulanan;;;;;;;15
ZONA;BMOU4192536;40;Z002;2024-06-10;;3;"10 agustus 2024 - 9 september 2024";Bulanan;;;;;;;15
ZONA;BMOU4192536;40;Z002;2024-06-10;;4;"10 september 2024 - 9 oktober 2024";Bulanan;;;;;;;15
ZONA;BMOU4192536;40;Z002;2024-06-10;;5;"10 oktober 2024 - 9 november 2024";Bulanan;;;;;;;15
ZONA;BMOU4192536;40;Z002;2024-06-10;;6;"10 november 2024 - 9 desember 2024";Bulanan;;;;;;;15
ZONA;BMOU4192536;40;Z002;2024-06-10;;7;"10 desember 2024 - 9 januari 2025";Bulanan;;;;;;;15
ZONA;MSKU4555445;40;Z003;2024-06-14;;1;"14 juni 2024 - 13 juli 2024";Bulanan;;;;;;;15
ZONA;MSKU4555445;40;Z003;2024-06-14;;2;"14 juli 2024 - 13 agustus 2024";Bulanan;;;;;;;15
ZONA;MSKU4555445;40;Z003;2024-06-14;;3;"14 agustus 2024 - 13 september 2024";Bulanan;;;;;;;15
ZONA;MSKU4555445;40;Z003;2024-06-14;;4;"14 september 2024 - 13 oktober 2024";Bulanan;;;;;;;15
ZONA;MSKU4555445;40;Z003;2024-06-14;;5;"14 oktober 2024 - 13 november 2024";Bulanan;;;;;;;15
ZONA;MSKU4555445;40;Z003;2024-06-14;;6;"14 november 2024 - 13 desember 2024";Bulanan;;;;;;;15
ZONA;MSKU4555445;40;Z003;2024-06-14;;7;"14 desember 2024 - 13 januari 2025";Bulanan;;;;;;;15
ZONA;XXXU9902224;40;Z004;2024-07-06;2025-01-04;1;"6 juli 2024 - 5 agustus 2024";Bulanan;;;;;;;6
ZONA;XXXU9902224;40;Z004;2024-07-06;2025-01-04;2;"6 agustus 2024 - 5 september 2024";Bulanan;;;;;;;6
ZONA;XXXU9902224;40;Z004;2024-07-06;2025-01-04;3;"6 september 2024 - 5 oktober 2024";Bulanan;;;;;;;6
ZONA;XXXU9902224;40;Z004;2024-07-06;2025-01-04;4;"6 oktober 2024 - 5 november 2024";Bulanan;;;;;;;6
ZONA;XXXU9902224;40;Z004;2024-07-06;2025-01-04;5;"6 november 2024 - 5 desember 2024";Bulanan;;;;;;;6
ZONA;XXXU9902224;40;Z004;2024-07-06;2025-01-04;6;"6 desember 2024 - 4 januari 2025";Harian;;;;;;;6
ZONA;TEXU7210230;40;Z004;2024-07-06;2025-07-25;1;"6 juli 2024 - 5 agustus 2024";Bulanan;;;;;;;13
ZONA;TEXU7210230;40;Z004;2024-07-06;2025-07-25;2;"6 agustus 2024 - 5 september 2024";Bulanan;;;;;;;13
ZONA;TEXU7210230;40;Z004;2024-07-06;2025-07-25;3;"6 september 2024 - 5 oktober 2024";Bulanan;;;;;;;13
ZONA;TEXU7210230;40;Z004;2024-07-06;2025-07-25;4;"6 oktober 2024 - 5 november 2024";Bulanan;;;;;;;13
ZONA;TEXU7210230;40;Z004;2024-07-06;2025-07-25;5;"6 november 2024 - 5 desember 2024";Bulanan;;;;;;;13
ZONA;TEXU7210230;40;Z004;2024-07-06;2025-07-25;6;"6 desember 2024 - 5 januari 2025";Bulanan;;;;;;;13
ZONA;GESU5570090;40;Z005;2024-08-29;;1;"29 agustus 2024 - 28 september 2024";Bulanan;;;;;;;13
ZONA;GESU5570090;40;Z005;2024-08-29;;2;"29 september 2024 - 28 oktober 2024";Bulanan;;;;;;;13
ZONA;GESU5570090;40;Z005;2024-08-29;;3;"29 oktober 2024 - 28 november 2024";Bulanan;;;;;;;13
ZONA;GESU5570090;40;Z005;2024-08-29;;4;"29 november 2024 - 28 desember 2024";Bulanan;;;;;;;13
ZONA;GESU5570090;40;Z005;2024-08-29;;5;"29 desember 2024 - 28 januari 2025";Bulanan;;;;;;;13
ZONA;CBHU8810653;40;Z006;2024-08-30;2025-06-25;1;"30 agustus 2024 - 29 september 2024";Bulanan;;;;;;;10
ZONA;CBHU8810653;40;Z006;2024-08-30;2025-06-25;2;"30 september 2024 - 29 oktober 2024";Bulanan;;;;;;;10
ZONA;CBHU8810653;40;Z006;2024-08-30;2025-06-25;3;"30 oktober 2024 - 29 november 2024";Bulanan;;;;;;;10
ZONA;CBHU8810653;40;Z006;2024-08-30;2025-06-25;4;"30 november 2024 - 29 desember 2024";Bulanan;;;;;;;10
ZONA;CBHU8810653;40;Z006;2024-08-30;2025-06-25;5;"30 desember 2024 - 29 januari 2025";Bulanan;;;;;;;10
ZONA;CLHU3925177;40;Z008;2024-12-12;2025-01-02;1;"12 desember 2024 - 2 januari 2025";Harian;;;;;;;1
ZONA;ZWFU1000730;40;Z007;2024-12-11;2025-01-02;1;"11 desember 2024 - 2 januari 2025";Harian;;;;;;;1
ZONA;DNAU2622206;20;Z007;2024-12-11;2025-04-07;1;"11 desember 2024 - 10 januari 2025";Bulanan;;;;;;;4
ZONA;ZONA6987793;40;Z008;2024-12-12;2025-01-02;1;"12 desember 2024 - 2 januari 2025";Harian;;;;;;;1
